Date,Year,Month,Country,State,Region,Confirmed_Cases,Malaria_Deaths,Malaria_Incidence_per_1000,Season(Dry/Rainy),Mortality Rate(%),Quarter
Oct-2000,2000,October,Nigeria,Enugu,South East,101357,387,37.2,Rainy,0.38,4
Nov-2000,2000,November,Nigeria,Kano,North West,430826,1567,49.22,Dry,0.36,4
Nov-2000,2000,November,Nigeria,Kaduna,North West,286963,1288,54.7,Dry,0.45,4
Nov-2000,2000,November,Nigeria,Borno,North East,115712,538,32.6,Dry,0.46,4
Nov-2000,2000,November,Nigeria,Kwara,North Central,20759,71,10.06,Dry,0.34,4
Nov-2000,2000,November,Nigeria,Lagos,South West,256800,751,28,Dry,0.29,4
Nov-2000,2000,November,Nigeria,Ogun,South West,101913,448,27.5,Dry,0.44,4
Nov-2000,2000,November,Nigeria,Rivers,South South,129707,485,29.87,Dry,0.37,4
Nov-2000,2000,November,Nigeria,Enugu,South East,84721,325,31.1,Dry,0.38,4
Dec-2000,2000,December,Nigeria,Kano,North West,348337,1652,39.8,Dry,0.47,4
Dec-2000,2000,December,Nigeria,Kaduna,North West,211805,1033,40.37,Dry,0.49,4
Dec-2000,2000,December,Nigeria,Borno,North East,103050,625,29.03,Dry,0.61,4
Dec-2000,2000,December,Nigeria,Kwara,North Central,15720,58,7.62,Dry,0.37,4
Dec-2000,2000,December,Nigeria,Lagos,South West,210315,631,22.93,Dry,0.30,4
Dec-2000,2000,December,Nigeria,Ogun,South West,75938,326,20.49,Dry,0.43,4
Dec-2000,2000,December,Nigeria,Rivers,South South,100159,367,23.06,Dry,0.37,4
Dec-2000,2000,December,Nigeria,Enugu,South East,68608,227,25.18,Dry,0.33,4
Jan-2001,2001,January,Nigeria,Kano,North West,326702,1329,36.37,Dry,0.41,1
Jan-2001,2001,January,Nigeria,Kaduna,North West,158357,640,29.45,Dry,0.40,1
Jan-2001,2001,January,Nigeria,Borno,North East,77127,293,21.2,Dry,0.38,1
Jan-2001,2001,January,Nigeria,Kwara,North Central,14792,55,7,Dry,0.37,1
Jan-2001,2001,January,Nigeria,Lagos,South West,169906,398,18.2,Dry,0.23,1
Jan-2001,2001,January,Nigeria,Ogun,South West,69242,270,18.23,Dry,0.39,1
Jan-2001,2001,January,Nigeria,Rivers,South South,78055,400,17.53,Dry,0.51,1
Jan-2001,2001,January,Nigeria,Enugu,South East,56559,220,20.25,Dry,0.39,1
Feb-2001,2001,February,Nigeria,Kano,North West,320728,1021,35.71,Dry,0.32,1
Feb-2001,2001,February,Nigeria,Kaduna,North West,206836,943,38.46,Dry,0.46,1
Feb-2001,2001,February,Nigeria,Borno,North East,85852,474,23.59,Dry,0.55,1
Feb-2001,2001,February,Nigeria,Kwara,North Central,13879,65,6.56,Dry,0.47,1
Feb-2001,2001,February,Nigeria,Lagos,South West,181433,557,19.44,Dry,0.31,1
Feb-2001,2001,February,Nigeria,Ogun,South West,80260,348,21.13,Dry,0.43,1
Feb-2001,2001,February,Nigeria,Rivers,South South,93264,331,20.95,Dry,0.35,1
Feb-2001,2001,February,Nigeria,Enugu,South East,59034,238,21.14,Dry,0.40,1
Mar-2001,2001,March,Nigeria,Kano,North West,313222,1541,34.87,Dry,0.49,1
Mar-2001,2001,March,Nigeria,Kaduna,North West,201312,1169,37.44,Dry,0.58,1
Mar-2001,2001,March,Nigeria,Borno,North East,85029,471,23.37,Dry,0.55,1
Mar-2001,2001,March,Nigeria,Kwara,North Central,14531,58,6.87,Dry,0.40,1
Mar-2001,2001,March,Nigeria,Lagos,South West,187820,536,20.12,Dry,0.29,1
Mar-2001,2001,March,Nigeria,Ogun,South West,75256,259,19.81,Dry,0.34,1
Mar-2001,2001,March,Nigeria,Rivers,South South,99263,371,22.3,Dry,0.37,1
Mar-2001,2001,March,Nigeria,Enugu,South East,66691,323,23.88,Dry,0.48,1
Apr-2001,2001,April,Nigeria,Kano,North West,307196,1220,34.2,Rainy,0.40,2
Apr-2001,2001,April,Nigeria,Kaduna,North West,187537,947,34.87,Rainy,0.50,2
Apr-2001,2001,April,Nigeria,Borno,North East,74264,421,20.41,Rainy,0.57,2
Apr-2001,2001,April,Nigeria,Kwara,North Central,12979,68,6.14,Rainy,0.52,2
Apr-2001,2001,April,Nigeria,Lagos,South West,163838,414,17.55,Rainy,0.25,2
Apr-2001,2001,April,Nigeria,Ogun,South West,71707,236,18.88,Rainy,0.33,2
Apr-2001,2001,April,Nigeria,Rivers,South South,81880,288,18.39,Rainy,0.35,2
Apr-2001,2001,April,Nigeria,Enugu,South East,60597,216,21.7,Rainy,0.36,2
May-2001,2001,May,Nigeria,Kano,North West,276907,1291,30.83,Rainy,0.47,2
May-2001,2001,May,Nigeria,Kaduna,North West,177651,942,33.04,Rainy,0.53,2
May-2001,2001,May,Nigeria,Borno,North East,85686,443,23.55,Rainy,0.52,2
May-2001,2001,May,Nigeria,Kwara,North Central,14259,44,6.74,Rainy,0.31,2
May-2001,2001,May,Nigeria,Lagos,South West,176679,425,18.93,Rainy,0.24,2
May-2001,2001,May,Nigeria,Ogun,South West,71133,324,18.73,Rainy,0.46,2
May-2001,2001,May,Nigeria,Rivers,South South,89376,409,20.08,Rainy,0.46,2
May-2001,2001,May,Nigeria,Enugu,South East,62729,271,22.46,Rainy,0.43,2
Jun-2001,2001,June,Nigeria,Kano,North West,336863,1956,37.5,Rainy,0.58,2
Jun-2001,2001,June,Nigeria,Kaduna,North West,210402,1052,39.13,Rainy,0.50,2
Jun-2001,2001,June,Nigeria,Borno,North East,88548,592,24.34,Rainy,0.67,2
Jun-2001,2001,June,Nigeria,Kwara,North Central,17037,92,8.06,Rainy,0.54,2
Jun-2001,2001,June,Nigeria,Lagos,South West,167325,405,17.93,Rainy,0.24,2
Jun-2001,2001,June,Nigeria,Ogun,South West,85330,282,22.47,Rainy,0.33,2
Jun-2001,2001,June,Nigeria,Rivers,South South,98122,472,22.04,Rainy,0.48,2
Jun-2001,2001,June,Nigeria,Enugu,South East,65584,287,23.49,Rainy,0.44,2
Jul-2001,2001,July,Nigeria,Kano,North West,438752,2404,48.85,Rainy,0.55,3
Jul-2001,2001,July,Nigeria,Kaduna,North West,274278,1224,51,Rainy,0.45,3
Jul-2001,2001,July,Nigeria,Borno,North East,129586,790,35.61,Rainy,0.61,3
Jul-2001,2001,July,Nigeria,Kwara,North Central,23545,69,11.14,Rainy,0.29,3
Jul-2001,2001,July,Nigeria,Lagos,South West,249012,686,26.68,Rainy,0.28,3
Jul-2001,2001,July,Nigeria,Ogun,South West,114548,410,30.16,Rainy,0.36,3
Jul-2001,2001,July,Nigeria,Rivers,South South,132052,463,29.66,Rainy,0.35,3
Jul-2001,2001,July,Nigeria,Enugu,South East,100664,391,36.05,Rainy,0.39,3
Aug-2001,2001,August,Nigeria,Kano,North West,512325,2202,57.04,Rainy,0.43,3
Aug-2001,2001,August,Nigeria,Kaduna,North West,305241,1735,56.76,Rainy,0.57,3
Aug-2001,2001,August,Nigeria,Borno,North East,145551,829,40,Rainy,0.57,3
Aug-2001,2001,August,Nigeria,Kwara,North Central,23647,113,11.18,Rainy,0.48,3
Aug-2001,2001,August,Nigeria,Lagos,South West,270085,761,28.94,Rainy,0.28,3
Aug-2001,2001,August,Nigeria,Ogun,South West,114836,427,30.23,Rainy,0.37,3
Aug-2001,2001,August,Nigeria,Rivers,South South,135926,609,30.53,Rainy,0.45,3
Aug-2001,2001,August,Nigeria,Enugu,South East,94755,312,33.93,Rainy,0.33,3
Sep-2001,2001,September,Nigeria,Kano,North West,603377,2304,67.17,Rainy,0.38,3
Sep-2001,2001,September,Nigeria,Kaduna,North West,375234,1685,69.78,Rainy,0.45,3
Sep-2001,2001,September,Nigeria,Borno,North East,162821,961,44.75,Rainy,0.59,3
Sep-2001,2001,September,Nigeria,Kwara,North Central,29165,106,13.79,Rainy,0.36,3
Sep-2001,2001,September,Nigeria,Lagos,South West,358270,1233,38.38,Rainy,0.34,3
Sep-2001,2001,September,Nigeria,Ogun,South West,134968,477,35.53,Rainy,0.35,3
Sep-2001,2001,September,Nigeria,Rivers,South South,169302,644,38.03,Rainy,0.38,3
Sep-2001,2001,September,Nigeria,Enugu,South East,123745,415,44.32,Rainy,0.34,3
Oct-2001,2001,October,Nigeria,Kano,North West,556343,2611,61.94,Rainy,0.47,4
Oct-2001,2001,October,Nigeria,Kaduna,North West,363494,1532,67.59,Rainy,0.42,4
Oct-2001,2001,October,Nigeria,Borno,North East,152823,1028,42,Rainy,0.67,4
Oct-2001,2001,October,Nigeria,Kwara,North Central,26742,73,12.65,Rainy,0.27,4
Oct-2001,2001,October,Nigeria,Lagos,South West,278365,679,29.82,Rainy,0.24,4
Oct-2001,2001,October,Nigeria,Ogun,South West,121862,548,32.08,Rainy,0.45,4
Oct-2001,2001,October,Nigeria,Rivers,South South,168539,608,37.86,Rainy,0.36,4
Oct-2001,2001,October,Nigeria,Enugu,South East,113389,316,40.61,Rainy,0.28,4
Nov-2001,2001,November,Nigeria,Kano,North West,466487,1781,51.93,Dry,0.38,4
Nov-2001,2001,November,Nigeria,Kaduna,North West,294424,1327,54.75,Dry,0.45,4
Nov-2001,2001,November,Nigeria,Borno,North East,123614,611,33.97,Dry,0.49,4
Nov-2001,2001,November,Nigeria,Kwara,North Central,20026,77,9.47,Dry,0.38,4
Nov-2001,2001,November,Nigeria,Lagos,South West,254213,667,27.24,Dry,0.26,4
Nov-2001,2001,November,Nigeria,Ogun,South West,102689,387,27.04,Dry,0.38,4
Nov-2001,2001,November,Nigeria,Rivers,South South,144480,494,32.46,Dry,0.34,4
Nov-2001,2001,November,Nigeria,Enugu,South East,89742,321,32.14,Dry,0.36,4
Dec-2001,2001,December,Nigeria,Kano,North West,363359,1322,40.45,Dry,0.36,4
Dec-2001,2001,December,Nigeria,Kaduna,North West,193736,944,36.03,Dry,0.49,4
Dec-2001,2001,December,Nigeria,Borno,North East,91915,539,25.26,Dry,0.59,4
Dec-2001,2001,December,Nigeria,Kwara,North Central,16901,67,7.99,Dry,0.40,4
Dec-2001,2001,December,Nigeria,Lagos,South West,238335,698,25.53,Dry,0.29,4
Dec-2001,2001,December,Nigeria,Ogun,South West,81090,369,21.35,Dry,0.46,4
Dec-2001,2001,December,Nigeria,Rivers,South South,100878,374,22.66,Dry,0.37,4
Dec-2001,2001,December,Nigeria,Enugu,South East,71558,285,25.63,Dry,0.40,4
Jan-2002,2002,January,Nigeria,Kano,North West,245742,1047,26.66,Dry,0.43,1
Jan-2002,2002,January,Nigeria,Kaduna,North West,153645,546,27.87,Dry,0.36,1
Jan-2002,2002,January,Nigeria,Borno,North East,71460,424,19.16,Dry,0.59,1
Jan-2002,2002,January,Nigeria,Kwara,North Central,10842,26,5,Dry,0.24,1
Jan-2002,2002,January,Nigeria,Lagos,South West,133896,382,14.1,Dry,0.29,1
Jan-2002,2002,January,Nigeria,Ogun,South West,47307,144,12.15,Dry,0.30,1
Jan-2002,2002,January,Nigeria,Rivers,South South,73835,204,16.18,Dry,0.28,1
Jan-2002,2002,January,Nigeria,Enugu,South East,48082,194,16.8,Dry,0.40,1
Feb-2002,2002,February,Nigeria,Kano,North West,243803,1156,26.45,Dry,0.47,1
Feb-2002,2002,February,Nigeria,Kaduna,North West,169883,661,30.82,Dry,0.39,1
Feb-2002,2002,February,Nigeria,Borno,North East,77449,431,20.77,Dry,0.56,1
Feb-2002,2002,February,Nigeria,Kwara,North Central,12529,59,5.78,Dry,0.47,1
Feb-2002,2002,February,Nigeria,Lagos,South West,137315,383,14.46,Dry,0.28,1
Feb-2002,2002,February,Nigeria,Ogun,South West,64904,256,16.67,Dry,0.39,1
Feb-2002,2002,February,Nigeria,Rivers,South South,87971,320,19.28,Dry,0.36,1
Feb-2002,2002,February,Nigeria,Enugu,South East,51250,232,17.91,Dry,0.45,1
Mar-2002,2002,March,Nigeria,Kano,North West,318318,1701,34.53,Dry,0.53,1
Mar-2002,2002,March,Nigeria,Kaduna,North West,202379,842,36.72,Dry,0.42,1
Mar-2002,2002,March,Nigeria,Borno,North East,78910,434,21.16,Dry,0.55,1
Mar-2002,2002,March,Nigeria,Kwara,North Central,16025,69,7.39,Dry,0.43,1
Mar-2002,2002,March,Nigeria,Lagos,South West,176251,440,18.55,Dry,0.25,1
Mar-2002,2002,March,Nigeria,Ogun,South West,66379,221,17.05,Dry,0.33,1
Mar-2002,2002,March,Nigeria,Rivers,South South,99608,387,21.83,Dry,0.39,1
Mar-2002,2002,March,Nigeria,Enugu,South East,62687,247,21.9,Dry,0.39,1
Apr-2002,2002,April,Nigeria,Kano,North West,302521,662,32.82,Rainy,0.22,2
Apr-2002,2002,April,Nigeria,Kaduna,North West,163668,786,29.69,Rainy,0.48,2
Apr-2002,2002,April,Nigeria,Borno,North East,71474,323,19.16,Rainy,0.45,2
Apr-2002,2002,April,Nigeria,Kwara,North Central,13444,64,6.2,Rainy,0.48,2
Apr-2002,2002,April,Nigeria,Lagos,South West,176976,452,18.63,Rainy,0.26,2
Apr-2002,2002,April,Nigeria,Ogun,South West,70678,230,18.15,Rainy,0.33,2
Apr-2002,2002,April,Nigeria,Rivers,South South,94173,421,20.64,Rainy,0.45,2
Apr-2002,2002,April,Nigeria,Enugu,South East,69305,217,24.21,Rainy,0.31,2
May-2002,2002,May,Nigeria,Kano,North West,364879,1505,39.58,Rainy,0.41,2
May-2002,2002,May,Nigeria,Kaduna,North West,195826,940,35.53,Rainy,0.48,2
May-2002,2002,May,Nigeria,Borno,North East,94948,571,25.46,Rainy,0.60,2
May-2002,2002,May,Nigeria,Kwara,North Central,13556,45,6.26,Rainy,0.33,2
May-2002,2002,May,Nigeria,Lagos,South West,180713,493,19.02,Rainy,0.27,2
May-2002,2002,May,Nigeria,Ogun,South West,74764,298,19.2,Rainy,0.40,2
May-2002,2002,May,Nigeria,Rivers,South South,108666,480,23.82,Rainy,0.44,2
May-2002,2002,May,Nigeria,Enugu,South East,68222,240,23.84,Rainy,0.35,2
Jun-2002,2002,June,Nigeria,Kano,North West,386624,1748,41.94,Rainy,0.45,2
Jun-2002,2002,June,Nigeria,Kaduna,North West,248599,973,45.1,Rainy,0.39,2
Jun-2002,2002,June,Nigeria,Borno,North East,96019,588,25.74,Rainy,0.61,2
Jun-2002,2002,June,Nigeria,Kwara,North Central,18958,82,8.75,Rainy,0.43,2
Jun-2002,2002,June,Nigeria,Lagos,South West,202523,483,21.32,Rainy,0.24,2
Jun-2002,2002,June,Nigeria,Ogun,South West,90784,305,23.32,Rainy,0.34,2
Jun-2002,2002,June,Nigeria,Rivers,South South,122661,407,26.88,Rainy,0.33,2
Jun-2002,2002,June,Nigeria,Enugu,South East,69224,203,24.19,Rainy,0.29,2
Jul-2002,2002,July,Nigeria,Kano,North West,472945,1888,51.31,Rainy,0.40,3
Jul-2002,2002,July,Nigeria,Kaduna,North West,235472,1213,42.72,Rainy,0.52,3
Jul-2002,2002,July,Nigeria,Borno,North East,121563,841,32.59,Rainy,0.69,3
Jul-2002,2002,July,Nigeria,Kwara,North Central,21556,88,9.95,Rainy,0.41,3
Jul-2002,2002,July,Nigeria,Lagos,South West,257720,623,27.13,Rainy,0.24,3
Jul-2002,2002,July,Nigeria,Ogun,South West,93510,384,24.02,Rainy,0.41,3
Jul-2002,2002,July,Nigeria,Rivers,South South,146189,630,32.04,Rainy,0.43,3
Jul-2002,2002,July,Nigeria,Enugu,South East,100696,482,35.18,Rainy,0.48,3
Aug-2002,2002,August,Nigeria,Kano,North West,523849,2364,56.83,Rainy,0.45,3
Aug-2002,2002,August,Nigeria,Kaduna,North West,330585,1847,59.97,Rainy,0.56,3
Aug-2002,2002,August,Nigeria,Borno,North East,142429,835,38.19,Rainy,0.59,3
Aug-2002,2002,August,Nigeria,Kwara,North Central,25581,95,11.8,Rainy,0.37,3
Aug-2002,2002,August,Nigeria,Lagos,South West,300257,730,31.61,Rainy,0.24,3
Aug-2002,2002,August,Nigeria,Ogun,South West,121479,463,31.2,Rainy,0.38,3
Aug-2002,2002,August,Nigeria,Rivers,South South,192713,650,42.23,Rainy,0.34,3
Aug-2002,2002,August,Nigeria,Enugu,South East,97193,330,33.96,Rainy,0.34,3
Sep-2002,2002,September,Nigeria,Kano,North West,551733,1649,59.85,Rainy,0.30,3
Sep-2002,2002,September,Nigeria,Kaduna,North West,363041,1477,65.86,Rainy,0.41,3
Sep-2002,2002,September,Nigeria,Borno,North East,166489,1188,44.64,Rainy,0.71,3
Sep-2002,2002,September,Nigeria,Kwara,North Central,27572,81,12.72,Rainy,0.29,3
Sep-2002,2002,September,Nigeria,Lagos,South West,310323,1014,32.67,Rainy,0.33,3
Sep-2002,2002,September,Nigeria,Ogun,South West,142253,659,36.54,Rainy,0.46,3
Sep-2002,2002,September,Nigeria,Rivers,South South,176282,808,38.63,Rainy,0.46,3
Sep-2002,2002,September,Nigeria,Enugu,South East,109564,303,38.28,Rainy,0.28,3
Oct-2002,2002,October,Nigeria,Kano,North West,563482,2765,61.13,Rainy,0.49,4
Oct-2002,2002,October,Nigeria,Kaduna,North West,326828,1171,59.29,Rainy,0.36,4
Oct-2002,2002,October,Nigeria,Borno,North East,140655,975,37.71,Rainy,0.69,4
Oct-2002,2002,October,Nigeria,Kwara,North Central,23984,98,11.07,Rainy,0.41,4
Oct-2002,2002,October,Nigeria,Lagos,South West,295819,767,31.14,Rainy,0.26,4
Oct-2002,2002,October,Nigeria,Ogun,South West,125329,315,32.19,Rainy,0.25,4
Oct-2002,2002,October,Nigeria,Rivers,South South,175425,708,38.45,Rainy,0.40,4
Oct-2002,2002,October,Nigeria,Enugu,South East,112291,368,39.23,Rainy,0.33,4
Nov-2002,2002,November,Nigeria,Kano,North West,383967,1620,41.65,Dry,0.42,4
Nov-2002,2002,November,Nigeria,Kaduna,North West,258636,1033,46.92,Dry,0.40,4
Nov-2002,2002,November,Nigeria,Borno,North East,126624,645,33.95,Dry,0.51,4
Nov-2002,2002,November,Nigeria,Kwara,North Central,21164,94,9.77,Dry,0.44,4
Nov-2002,2002,November,Nigeria,Lagos,South West,275654,835,29.02,Dry,0.30,4
Nov-2002,2002,November,Nigeria,Ogun,South West,109816,466,28.21,Dry,0.42,4
Nov-2002,2002,November,Nigeria,Rivers,South South,141557,437,31.02,Dry,0.31,4
Nov-2002,2002,November,Nigeria,Enugu,South East,85544,289,29.89,Dry,0.34,4
Dec-2002,2002,December,Nigeria,Kano,North West,393951,1984,42.74,Dry,0.50,4
Dec-2002,2002,December,Nigeria,Kaduna,North West,224048,1257,40.65,Dry,0.56,4
Dec-2002,2002,December,Nigeria,Borno,North East,94948,680,25.46,Dry,0.72,4
Dec-2002,2002,December,Nigeria,Kwara,North Central,19399,83,8.95,Dry,0.43,4
Dec-2002,2002,December,Nigeria,Lagos,South West,179518,471,18.9,Dry,0.26,4
Dec-2002,2002,December,Nigeria,Ogun,South West,86325,211,22.17,Dry,0.24,4
Dec-2002,2002,December,Nigeria,Rivers,South South,107898,356,23.65,Dry,0.33,4
Dec-2002,2002,December,Nigeria,Enugu,South East,72792,285,25.43,Dry,0.39,4
Jan-2003,2003,January,Nigeria,Kano,North West,303149,1531,32.05,Dry,0.51,1
Jan-2003,2003,January,Nigeria,Kaduna,North West,164489,667,29.11,Dry,0.41,1
Jan-2003,2003,January,Nigeria,Borno,North East,76835,333,20.1,Dry,0.43,1
Jan-2003,2003,January,Nigeria,Kwara,North Central,12954,61,5.83,Dry,0.47,1
Jan-2003,2003,January,Nigeria,Lagos,South West,163377,480,16.9,Dry,0.29,1
Jan-2003,2003,January,Nigeria,Ogun,South West,67363,287,16.88,Dry,0.43,1
Jan-2003,2003,January,Nigeria,Rivers,South South,89106,363,19.05,Dry,0.41,1
Jan-2003,2003,January,Nigeria,Enugu,South East,55842,140,19.03,Dry,0.25,1
Feb-2003,2003,February,Nigeria,Kano,North West,311085,1273,32.89,Dry,0.41,1
Feb-2003,2003,February,Nigeria,Kaduna,North West,175743,675,31.11,Dry,0.38,1
Feb-2003,2003,February,Nigeria,Borno,North East,82859,543,21.67,Dry,0.66,1
Feb-2003,2003,February,Nigeria,Kwara,North Central,13357,49,6.01,Dry,0.37,1
Feb-2003,2003,February,Nigeria,Lagos,South West,166318,385,17.2,Dry,0.23,1
Feb-2003,2003,February,Nigeria,Ogun,South West,71981,262,18.04,Dry,0.36,1
Feb-2003,2003,February,Nigeria,Rivers,South South,90006,281,19.24,Dry,0.31,1
